model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
Toto-2.0-1B,1,0.01,"0,36",36,-53.564276720660416,36,0.512020460114813,36,6.3182278332646575,3.8031442859210074
Toto-2.0-1B,1,0.0067,"0,36",36,0.42202397292893,36,0.5154153648825609,36,9.631950307118908,3.3950745509937406
Toto-2.0-1B,1,0.005,"0,36",36,0.4473829104253781,36,0.5156903089654828,36,11.973985125695235,3.3330289060249925
Toto-2.0-1B,1,0.0044,"0,36",36,0.4285255950973626,36,0.5133002214121771,36,13.786221929603991,3.686416608048603
Toto-2.0-1B,1,0.0033,"0,36",36,0.43629370490469677,36,0.5115791834280821,0,9.782692507589175,3.3015617600176483
Toto-2.0-1B,1,0.003,"0,36",36,0.449018792084376,36,0.5142192926583234,0,7.052551636819191,3.537902877898887
Toto-2.0-1B,1,0.001,"0,36",36,0.4324187698428619,36,0.5040460737812535,0,1.5282730739572106,3.7401963241863996
