model,head,num_enabled,lr,layers,macro_auc_layer,macro_auc,macro_auprc_layer,macro_auprc,elapsed_s
Toto-2.0-2.5B,categorical,1,0.01,"46,48",46,0.9999982714653015,46,0.9999544024467468,2.7819896759465337
Toto-2.0-2.5B,categorical,1,0.004,"46,48",46,0.9999953508377075,46,0.9999103546142578,2.5950010670349
Toto-2.0-2.5B,categorical,1,0.0025,"46,48",46,0.9999988675117493,46,0.9999709129333496,2.506695603020489
Toto-2.0-2.5B,categorical,1,0.001,"46,48",46,0.9999988675117493,46,0.9999693036079407,2.772383731091395
