model,head,num_enabled,lr,layers,macro_auc_layer,macro_auc,macro_auprc_layer,macro_auprc,elapsed_s
Toto-2.0-1B,categorical,1,0.01,"29,34",29,0.9999959468841553,34,0.9999115467071533,2.948699237080291
Toto-2.0-1B,categorical,1,0.005,"29,34",29,0.9999935626983643,29,0.9999285340309143,2.696411950979382
Toto-2.0-1B,categorical,1,0.003,"29,34",29,0.9999982714653015,29,0.9999544024467468,2.4793668140191585
Toto-2.0-1B,categorical,1,0.001,"29,34",34,0.9999995231628418,34,0.9999845623970032,2.577707092044875
