model,head,num_enabled,lr,layers,macro_auc_layer,macro_auc,macro_auprc_layer,macro_auprc,elapsed_s
Moirai-1.1-R-Base,categorical,1,0.01,12,12,0.9986859560012817,12,0.9879570603370667,1.3687093779444695
Moirai-1.1-R-Base,categorical,1,0.0067,12,12,0.9984819293022156,12,0.9858248829841614,1.2096242879051715
Moirai-1.1-R-Base,categorical,1,0.005,12,12,0.998302698135376,12,0.9847363233566284,1.4208500680979341
Moirai-1.1-R-Base,categorical,1,0.003,12,12,0.9979227781295776,12,0.9819811582565308,1.2269260720349848
