model,head,num_enabled,lr,layers,macro_auc_layer,macro_auc,macro_auprc_layer,macro_auprc,elapsed_s
Timer-Base-84M,categorical,1,0.01,"5,6",6,0.9935393333435059,5,0.9296329021453857,3.355713299009949
Timer-Base-84M,categorical,1,0.005,"5,6",6,0.9922083616256714,6,0.9170310497283936,3.227742937859148
Timer-Base-84M,categorical,1,0.003,"5,6",6,0.9907791018486023,6,0.9044710397720337,3.0704951661173254
Timer-Base-84M,categorical,1,0.001,"5,6",6,0.9851127862930298,6,0.8581628799438477,2.7385695858392864
