model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
Toto-2.0-4M,1,0.01,"0,4",4,0.4337595924503539,4,0.49739464657941945,4,38.55612215839597,3.5590403468813747
Toto-2.0-4M,1,0.003,"0,4",4,0.4137633655814528,4,0.48848456038944454,0,48.14220222025868,3.255040869116783
Toto-2.0-4M,1,0.001,"0,4",4,0.3788550033913764,4,0.4755794332817272,0,4.410276767471358,3.208741170121357
