model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
TimesFM-2.5-200M,1,0.01,20,20,0.4397749916769932,20,0.5507605929390282,20,1.2525859523909213,2.0624980949796736
TimesFM-2.5-200M,1,0.0064,20,20,0.46085325931552057,20,0.550417781370828,20,1.657313627274054,1.7348047329578549
TimesFM-2.5-200M,1,0.005,20,20,0.4612522185738464,20,0.5471377588398987,20,2.0061290584764015,1.6831182409077883
TimesFM-2.5-200M,1,0.003,20,20,0.4608658692554973,20,0.5428008431944771,20,3.1906960584326334,1.6949111639987677
