model,head,num_enabled,lr,layers,macro_auc_layer,macro_auc,macro_auprc_layer,macro_auprc,elapsed_s
Toto-2.0-4M,categorical,1,0.01,"2,4",4,0.9985064268112183,2,0.9899654984474182,3.0403417460620403
Toto-2.0-4M,categorical,1,0.003,"2,4",2,0.997875988483429,2,0.9859846830368042,2.8371680409181863
Toto-2.0-4M,categorical,1,0.001,"2,4",2,0.9995148777961731,2,0.9935727715492249,2.5259654140099883
