model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
Timer-Base-84M,1,0.01,6,6,0.866341069441845,6,0.9205097980301286,6,3.4287161366630876,1.8986858329735696
Timer-Base-84M,1,0.005,6,6,0.8637260430265051,6,0.916405445391438,6,5.865216073755466,1.773294418118894
Timer-Base-84M,1,0.003,6,6,0.8528918153792946,6,0.9090707822730721,6,11.748025940474331,1.7683411911129951
Timer-Base-84M,1,0.001,6,6,0.8092273952037374,6,0.8789635962079373,6,107.59448050456909,1.766744168009609
