model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Timer-Base-84M,1,0.005,level_change_amplitude,level_change,magnitude,0.9990412677444476,6,1000.0,0.9995227579582474,6,0.0003257532467209257,6
Timer-Base-84M,1,0.005,gaussian_time_frac,gaussian,time_frac,0.8382518065757091,6,1150.0,0.9164658718024302,6,0.006666524684700166,6
Timer-Base-84M,1,0.005,gaussian_amplitude,gaussian,magnitude,0.9810784634521633,6,1250.0,0.9912140959590986,6,0.006133818326614165,6
Timer-Base-84M,1,0.005,gaussian_sigma_sec,gaussian,sigma_sec,0.7814897178620052,6,1100.0,0.8847471034763589,6,4.547407705768251e-05,6
Timer-Base-84M,1,0.005,gaussian_noise_std,gaussian_noise,std,0.9844991372225779,6,1200.0,0.9927330805315672,6,2.1840034037862282e-05,6
Timer-Base-84M,1,0.005,uniform_noise_amplitude,uniform_noise,std,0.99000955101739,6,650.0,0.9952804559469763,6,3.328707891255769e-05,6
Timer-Base-84M,1,0.005,random_walk_step_std,random_walk_noise,std,0.8143866354361112,6,1100.0,0.909817254513029,6,7.649101485169553e-05,6
Timer-Base-84M,1,0.005,linear_trend_slope,linear_trend,slope,0.9999274091350984,6,1250.0,0.999969259232688,6,9.66774102200223e-05,6
Timer-Base-84M,1,0.005,linear_trend_intercept,linear_trend,intercept,0.9999266377868433,6,950.0,0.9999661092935079,6,6.009076331786284e-06,6
Timer-Base-84M,1,0.005,quadratic_trend_a,quadratic_trend,a,0.9975952191677291,6,1250.0,0.9987987985816545,6,0.012814490457237173,6
Timer-Base-84M,1,0.005,quadratic_trend_b,quadratic_trend,slope,0.9993234456742351,6,950.0,0.9996676208650599,6,0.0008793691991557211,6
Timer-Base-84M,1,0.005,quadratic_trend_c,quadratic_trend,intercept,0.9993047069732156,6,950.0,0.9996880885336681,6,5.838725825365576e-05,6
Timer-Base-84M,1,0.005,log_trend_amplitude,log_trend,amplitude,0.9999174020353803,6,1050.0,0.9999588122026073,6,0.00010914924688964108,6
Timer-Base-84M,1,0.005,log_trend_offset,log_trend,offset,0.9993722696964028,6,900.0,0.9996914906810855,6,5.191627186268203e-05,6
Timer-Base-84M,1,0.005,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.9973958348606775,6,1150.0,0.9987480915556829,6,0.003504185630358597,6
Timer-Base-84M,1,0.005,sigmoid_trend_center,sigmoid_trend,center,0.8993114435158107,6,1150.0,0.9488521810698154,6,0.00306078266122021,6
Timer-Base-84M,1,0.005,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.647497057894483,6,1250.0,0.8155617388905831,6,6.868782144146632,6
Timer-Base-84M,1,0.005,sigmoid_trend_offset,sigmoid_trend,offset,0.9930165825447917,6,1150.0,0.9966035747532406,6,0.0005909819043211841,6
Timer-Base-84M,1,0.005,sine_amplitude,sine,amplitude,0.981711377102137,6,700.0,0.9912459384236384,6,0.0015340995197708075,6
Timer-Base-84M,1,0.005,sine_frequency_hz,sine,frequency_hz,0.9599329173034639,6,1250.0,0.9798076634892843,6,169.53696243213585,6
Timer-Base-84M,1,0.005,sine_phase,sine,phase,0.08736211484737932,6,1200.0,0.29981939814137565,6,3.073514052100276,6
Timer-Base-84M,1,0.005,sine_offset,sine,offset,0.9447824105329761,6,700.0,0.9778816128648378,6,0.0007376046526442935,6
Timer-Base-84M,1,0.005,sawtooth_amplitude,sawtooth,amplitude,0.9882422547656904,6,950.0,0.9943636229246576,6,0.000970583630255465,6
Timer-Base-84M,1,0.005,sawtooth_frequency_hz,sawtooth,frequency_hz,0.9833710390036824,6,1250.0,0.9916525952157785,6,13.761498678539319,6
Timer-Base-84M,1,0.005,sawtooth_phase,sawtooth,phase,0.23920033864271917,6,1150.0,0.5125013156455185,6,2.520481588299229,6
Timer-Base-84M,1,0.005,sawtooth_offset,sawtooth,offset,0.9745857774312525,6,600.0,0.9875112017353858,6,0.0003362635415591494,6
