model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
Toto-2.0-2.5B,1,0.01,"0,48",48,-13.485222728588791,48,0.4965305245393856,48,2.358313647455193,3.5536211510188878
Toto-2.0-2.5B,1,0.005,"0,48",48,0.39677645463799116,48,0.5237330688672935,48,4.638355307885367,3.3906622789800167
Toto-2.0-2.5B,1,0.004,"0,48",48,0.43347101078708367,48,0.522891152849756,48,6.348541753632357,3.990556199103594
Toto-2.0-2.5B,1,0.003,"0,48",48,0.43349530981186496,48,0.5187920112399589,0,6.268639941074955,3.6049352791160345
Toto-2.0-2.5B,1,0.0025,"0,48",48,0.43866199536176065,48,0.5186980685192895,0,3.8165616494217733,3.467517454177141
Toto-2.0-2.5B,1,0.001,"0,48",48,0.43698161149908415,48,0.5107907138087489,0,1.058628952753998,3.7220670201350003
