model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
MantisV2,1,0.01,3,3,0.9118438165627252,3,0.9434176393780423,3,0.45677003022762946,2.0941666909493506
MantisV2,1,0.005,3,3,0.9066670834245836,3,0.9362648686937762,3,0.8187412384764642,1.7698070898186415
MantisV2,1,0.003,3,3,0.902249946446228,3,0.9297708685216727,3,1.577080353829702,1.6615508911199868
MantisV2,1,0.001,3,3,0.8592085106461047,3,0.9111207589610603,3,117.4863163133991,1.6891416830476373
