model,num_enabled,lr,layers,macro_r2_layer,macro_r2,macro_pearson_layer,macro_pearson,macro_mse_layer,macro_mse,elapsed_s
Moirai-1.1-R-Base,1,0.01,9,9,0.471399436565072,9,0.5300489634763111,9,1.1173979768109779,2.1049690830986947
Moirai-1.1-R-Base,1,0.0067,9,9,0.4658622511627759,9,0.5262679432992807,9,1.4859070318878622,1.6291377251036465
Moirai-1.1-R-Base,1,0.005,9,9,0.46043762305871044,9,0.5255852988661641,9,2.075480768067077,1.6265510660596192
Moirai-1.1-R-Base,1,0.003,9,9,0.44785925971867935,9,0.5197320238716943,9,4.9396166632780565,1.6035190348047763
