model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Toto-2.0-313M,categorical,1,0.01,constant,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,gaussian_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,uniform_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,random_walk_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,linear_trend,0.999983549118042,20,0.9996227025985718,20
Toto-2.0-313M,categorical,1,0.01,quadratic_trend,0.9999836087226868,20,0.9997817277908325,20
Toto-2.0-313M,categorical,1,0.01,log_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,sigmoid_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,sine,0.9998922944068909,20,0.9997998476028442,20
Toto-2.0-313M,categorical,1,0.01,sawtooth,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,square,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,spike,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.01,level_change,0.9999424815177917,20,0.9995740056037903,20
Toto-2.0-313M,categorical,1,0.01,gaussian,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,constant,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,gaussian_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,uniform_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,random_walk_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,linear_trend,0.9999257922172546,20,0.9996227025985718,20
Toto-2.0-313M,categorical,1,0.003,quadratic_trend,1.0,20,0.9997817277908325,20
Toto-2.0-313M,categorical,1,0.003,log_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,sigmoid_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,sine,0.9999672174453735,20,0.9991390705108643,20
Toto-2.0-313M,categorical,1,0.003,sawtooth,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,square,0.9998960494995117,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,spike,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.003,level_change,0.9999260306358337,20,0.9989356994628906,20
Toto-2.0-313M,categorical,1,0.003,gaussian,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,constant,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,gaussian_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,uniform_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,random_walk_noise,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,linear_trend,0.9999339580535889,20,0.9996227025985718,20
Toto-2.0-313M,categorical,1,0.001,quadratic_trend,0.999983549118042,20,0.9995636343955994,20
Toto-2.0-313M,categorical,1,0.001,log_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,sigmoid_trend,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,sine,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,sawtooth,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,square,1.0,20,0.9999866485595703,20
Toto-2.0-313M,categorical,1,0.001,spike,1.0,20,1.0,20
Toto-2.0-313M,categorical,1,0.001,level_change,0.9999753832817078,20,0.9995668530464172,20
Toto-2.0-313M,categorical,1,0.001,gaussian,0.9999999403953552,20,1.0,20
