model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
TimesFM-2.5-200M,1,0.0064,level_change_time_frac,level_change,time_frac,0.999501996477544,20,1200.0,0.9997699420064287,20,2.0349224567190047e-05,20
TimesFM-2.5-200M,1,0.0064,level_change_amplitude,level_change,magnitude,0.755287151039375,20,950.0,0.8695282415960343,20,0.08314730687487036,20
TimesFM-2.5-200M,1,0.0064,gaussian_time_frac,gaussian,time_frac,0.9963621677527794,20,1250.0,0.9981824078263006,20,0.00015016786776427107,20
TimesFM-2.5-200M,1,0.0064,gaussian_amplitude,gaussian,magnitude,0.7721572903056094,20,1200.0,0.8789417662239961,20,0.07386005807592147,20
TimesFM-2.5-200M,1,0.0064,gaussian_sigma_sec,gaussian,sigma_sec,0.9954276852089317,20,1000.0,0.9979658025047082,20,9.515423855876805e-07,20
TimesFM-2.5-200M,1,0.0064,gaussian_noise_std,gaussian_noise,std,-0.010886021820887715,20,450.0,0.03179534792118196,20,0.0014242939533098044,20
TimesFM-2.5-200M,1,0.0064,uniform_noise_amplitude,uniform_noise,std,-0.015044640629950479,20,950.0,0.02005505652719997,20,0.0033820172758232295,20
TimesFM-2.5-200M,1,0.0064,random_walk_step_std,random_walk_noise,std,-0.053448341680401246,20,250.0,0.0068819268602778455,20,0.00043412462749272513,20
TimesFM-2.5-200M,1,0.0064,linear_trend_slope,linear_trend,slope,0.8271175785585685,20,1200.0,0.909617549609779,20,0.23024694360902023,20
TimesFM-2.5-200M,1,0.0064,linear_trend_intercept,linear_trend,intercept,0.4770962583770403,20,1150.0,0.6911100489834521,20,0.04283088476183109,20
TimesFM-2.5-200M,1,0.0064,quadratic_trend_a,quadratic_trend,a,0.8945283416182427,20,1250.0,0.9460941137341287,20,0.5620327398258876,20
TimesFM-2.5-200M,1,0.0064,quadratic_trend_b,quadratic_trend,slope,0.887121208785494,20,400.0,0.9419185442989129,20,0.1467171643899312,20
TimesFM-2.5-200M,1,0.0064,quadratic_trend_c,quadratic_trend,intercept,0.24228161948803628,20,1200.0,0.4967374921049376,20,0.06362942969686369,20
TimesFM-2.5-200M,1,0.0064,log_trend_amplitude,log_trend,amplitude,0.7524706604633837,20,1000.0,0.8676883183713197,20,0.3270981448258711,20
TimesFM-2.5-200M,1,0.0064,log_trend_offset,log_trend,offset,-0.000931713525320621,20,1200.0,0.013853966430793452,20,0.08278179762484124,20
TimesFM-2.5-200M,1,0.0064,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.852237791663904,20,850.0,0.9236902767669528,20,0.19883002016381757,20
TimesFM-2.5-200M,1,0.0064,sigmoid_trend_center,sigmoid_trend,center,0.9846629405006668,20,1250.0,0.9923771324335374,20,0.0004662238433921039,20
TimesFM-2.5-200M,1,0.0064,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.8885563348018415,20,1250.0,0.9453717911526752,20,2.171562747871277,20
TimesFM-2.5-200M,1,0.0064,sigmoid_trend_offset,sigmoid_trend,offset,0.02716240036210338,20,500.0,0.1709042901059752,20,0.08232780310168478,20
